,id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,total_score
22,23,Shannon,Simpson,shannon.simpson.23@gslingacademy.com,female,False,9,False,2,Business Owner,89,72,68,72,71,54,90,516
23,24,Sean,Griffin,sean.griffin.24@gslingacademy.com,male,False,9,False,1,Business Owner,50,76,81,55,56,80,79,477
24,25,Cassandra,West,cassandra.west.25@gslingacademy.com,female,False,4,False,35,Software Engineer,87,91,90,88,95,88,93,632
25,26,Patricia,Chavez,patricia.chavez.26@gslingacademy.com,female,False,5,False,22,Doctor,92,86,87,81,93,90,99,628
26,27,Jason,Williams,jason.williams.27@gslingacademy.com,male,False,3,False,34,Banker,100,77,80,94,63,90,90,594
27,28,Peter,Gibbs,peter.gibbs.28@gslingacademy.com,male,False,0,False,23,Writer,64,75,93,79,81,96,85,573
28,29,Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,male,False,1,True,17,Accountant,79,65,99,71,76,77,83,550
29,30,Carol,Hill,carol.hill.30@gslingacademy.com,female,False,3,False,19,Accountant,82,100,61,97,30,74,73,517
30,31,Angie,Miller,angie.miller.31@gslingacademy.com,female,False,0,False,14,Software Engineer,88,69,87,100,88,85,72,589
31,32,Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,female,False,4,False,30,Designer,70,68,92,74,82,85,72,543
32,33,Timothy,Bryant,timothy.bryant.33@gslingacademy.com,male,False,4,False,30,Accountant,77,96,98,89,85,62,62,569
33,34,Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,female,False,1,False,24,Banker,99,84,84,78,78,77,68,568
34,35,Lisa,Burns,lisa.burns.35@gslingacademy.com,female,False,3,True,31,Unknown,90,93,91,80,86,69,62,571
35,36,Kelly,Farley,kelly.farley.36@gslingacademy.com,female,False,1,False,21,Unknown,65,70,78,98,80,66,65,522
36,37,Ryan,Lee,ryan.lee.37@gslingacademy.com,male,False,2,True,19,Construction Engineer,99,94,87,71,89,91,96,627
37,38,Michael,Gilmore,michael.gilmore.38@gslingacademy.com,male,False,1,False,29,Construction Engineer,92,100,85,89,81,91,88,626
38,39,Miguel,Martinez,miguel.martinez.39@gslingacademy.com,male,False,4,False,21,Banker,77,64,64,88,94,82,78,547
39,40,Christopher,Taylor,christopher.taylor.40@gslingacademy.com,male,False,4,False,18,Accountant,92,60,66,87,60,83,95,543
40,41,Emily,Holloway,emily.holloway.41@gslingacademy.com,female,False,4,False,31,Software Engineer,85,97,64,90,79,81,81,577
41,42,Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,male,True,7,False,4,Business Owner,65,55,66,50,88,56,86,466
42,43,Lauren,Farmer,lauren.farmer.43@gslingacademy.com,female,True,6,False,3,Business Owner,93,94,92,77,87,98,63,604
43,44,Pamela,Cole,pamela.cole.44@gslingacademy.com,female,False,4,False,3,Game Developer,97,99,85,96,91,68,66,602
44,45,David,Gillespie,david.gillespie.45@gslingacademy.com,male,True,4,False,3,Business Owner,54,99,79,57,53,95,83,520
45,46,Kenneth,Davis,kenneth.davis.46@gslingacademy.com,male,True,5,True,5,Business Owner,88,53,50,58,84,53,96,482
46,47,Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,female,False,5,True,27,Lawyer,71,85,93,68,100,91,87,595
47,48,Billy,Soto,billy.soto.48@gslingacademy.com,male,False,0,True,28,Stock Investor,81,98,74,70,97,65,65,550
48,49,Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,female,False,4,False,32,Unknown,80,78,86,80,64,68,100,556
49,50,Sonia,Noble,sonia.noble.50@gslingacademy.com,female,False,0,False,14,Accountant,100,89,90,93,30,83,74,559
50,51,Christopher,Stewart,christopher.stewart.51@gslingacademy.com,male,False,6,True,16,Stock Investor,76,72,96,65,89,87,94,579
51,52,Sandra,Thornton,sandra.thornton.52@gslingacademy.com,female,False,2,False,24,Lawyer,99,81,73,70,85,86,61,555
52,53,Luke,Shannon,luke.shannon.53@gslingacademy.com,male,False,9,False,0,Business Owner,64,70,61,81,82,51,70,479
53,54,Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,female,False,3,False,32,Banker,90,96,86,61,89,98,68,588
54,55,Jamie,Taylor,jamie.taylor.55@gslingacademy.com,male,False,2,False,3,Game Developer,85,100,92,68,60,77,83,565
55,56,Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,female,False,6,False,31,Software Engineer,91,60,84,88,76,71,99,569
56,57,Melissa,Lee,melissa.lee.57@gslingacademy.com,female,False,3,False,21,Unknown,95,72,79,86,87,81,62,562
57,58,David,Vaughn,david.vaughn.58@gslingacademy.com,male,True,2,False,18,Banker,94,78,73,97,67,78,99,586
58,59,Jacob,Hanson,jacob.hanson.59@gslingacademy.com,male,False,7,False,26,Software Engineer,94,89,64,96,91,95,77,606
59,60,Casey,May,casey.may.60@gslingacademy.com,male,False,4,False,23,Software Engineer,89,99,90,79,85,96,98,636
60,61,Michelle,Roman,michelle.roman.61@gslingacademy.com,female,False,2,False,1,Game Developer,91,81,88,71,78,83,76,568
61,62,Brittany,Koch,brittany.koch.62@gslingacademy.com,female,False,5,False,33,Lawyer,83,86,61,99,99,88,73,589
62,63,Brian,Lewis,brian.lewis.63@gslingacademy.com,male,False,7,False,2,Business Owner,98,65,53,64,52,96,62,490
63,64,Veronica,Cameron,veronica.cameron.64@gslingacademy.com,female,False,1,False,34,Banker,83,97,65,88,67,95,69,564
64,65,Eric,Reyes,eric.reyes.65@gslingacademy.com,male,False,2,False,18,Construction Engineer,91,73,99,70,63,80,78,554
65,66,Kristy,Weber,kristy.weber.66@gslingacademy.com,female,True,6,False,2,Business Owner,90,54,77,74,76,96,88,555
66,67,Anthony,Smith,anthony.smith.67@gslingacademy.com,male,False,3,False,27,Software Engineer,92,86,66,69,100,71,80,564
67,68,Steven,Stephens,steven.stephens.68@gslingacademy.com,male,False,2,False,8,Real Estate Developer,64,64,73,76,72,97,91,537
68,69,Henry,Davis,henry.davis.69@gslingacademy.com,male,False,4,False,14,Software Engineer,90,70,85,60,81,71,88,545
69,70,Raymond,Shea,raymond.shea.70@gslingacademy.com,male,False,10,True,22,Banker,99,81,96,69,91,87,83,606
70,71,Jill,Perez,jill.perez.71@gslingacademy.com,female,False,1,False,15,Designer,89,66,93,81,86,88,70,573
71,72,Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,female,True,3,False,22,Writer,62,87,93,83,93,97,73,588
72,73,Louis,Edwards,louis.edwards.73@gslingacademy.com,male,True,10,False,1,Business Owner,61,70,69,64,59,78,80,481
73,74,Michael,Hodge,michael.hodge.74@gslingacademy.com,male,True,8,False,3,Business Owner,51,54,66,87,99,58,68,483
74,75,Anna,Li,anna.li.75@gslingacademy.com,female,False,2,False,20,Software Engineer,85,100,64,68,73,81,87,558
75,76,Andrea,Case,andrea.case.76@gslingacademy.com,female,False,7,True,27,Software Engineer,99,90,96,92,100,98,77,652
76,77,Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,female,False,3,False,24,Software Engineer,87,63,60,90,89,99,80,568
77,78,Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,female,False,1,True,5,Unknown,75,91,80,93,74,93,65,571
78,79,Chelsea,Craig,chelsea.craig.79@gslingacademy.com,female,False,7,False,34,Unknown,88,94,80,63,68,77,64,534
79,80,Shawn,Chase,shawn.chase.80@gslingacademy.com,male,False,3,False,16,Software Engineer,87,79,89,68,93,75,92,583
80,81,Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,female,True,3,False,3,Business Owner,87,67,94,92,62,58,65,525
81,82,Lisa,Harris,lisa.harris.82@gslingacademy.com,female,False,1,False,15,Stock Investor,76,67,83,85,91,61,67,530
82,83,Carol,Snyder,carol.snyder.83@gslingacademy.com,female,False,7,False,11,Government Officer,60,80,61,63,95,92,75,526
83,84,Charles,Butler,charles.butler.84@gslingacademy.com,male,False,7,False,32,Scientist,85,65,99,100,88,93,72,602
84,85,James,Dawson,james.dawson.85@gslingacademy.com,male,False,3,False,28,Unknown,73,67,70,71,65,73,87,506
85,86,Dennis,Kim,dennis.kim.86@gslingacademy.com,male,False,1,False,24,Software Engineer,85,71,69,80,70,77,66,518
86,87,Jennifer,Berry,jennifer.berry.87@gslingacademy.com,female,False,2,False,9,Government Officer,91,76,71,72,92,67,90,559
87,88,Yvette,Bridges,yvette.bridges.88@gslingacademy.com,female,False,3,True,14,Software Engineer,99,95,83,89,81,63,70,580
88,89,Robert,Atkins,robert.atkins.89@gslingacademy.com,male,False,3,False,16,Stock Investor,93,96,68,87,69,89,100,602
89,90,William,Brown,william.brown.90@gslingacademy.com,male,False,3,False,29,Software Engineer,89,75,60,80,62,85,73,524
90,91,Patrick,Parker,patrick.parker.91@gslingacademy.com,male,False,0,False,14,Accountant,95,78,95,73,32,65,68,506
91,92,James,Santiago,james.santiago.92@gslingacademy.com,male,False,4,False,10,Government Officer,68,82,95,63,62,98,93,561
92,93,Robert,Parsons,robert.parsons.93@gslingacademy.com,male,False,5,False,31,Software Engineer,98,73,73,77,87,98,83,589
93,94,Jacob,Brown,jacob.brown.94@gslingacademy.com,male,False,4,False,34,Stock Investor,79,92,79,76,84,67,86,563
94,95,Natalie,Robinson,natalie.robinson.95@gslingacademy.com,female,False,5,False,3,Unknown,78,79,73,96,64,93,85,568
95,96,Victoria,Jones,victoria.jones.96@gslingacademy.com,female,False,2,True,34,Software Engineer,100,98,89,85,81,64,94,611
96,97,Natasha,Hansen,natasha.hansen.97@gslingacademy.com,female,False,3,True,2,Artist,86,76,84,93,76,69,91,575
97,98,Thomas,White,thomas.white.98@gslingacademy.com,male,False,3,False,4,Real Estate Developer,87,89,93,98,79,72,88,606
98,99,Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,male,True,0,False,28,Lawyer,100,93,85,61,96,83,86,604
99,100,Kimberly,Ward,kimberly.ward.100@gslingacademy.com,female,False,0,False,5,Game Developer,85,89,94,69,99,93,98,627
100,101,Rhonda,Jones,rhonda.jones.101@gslingacademy.com,female,False,2,False,4,Artist,87,73,98,91,79,60,77,565
101,102,Abigail,Perez,abigail.perez.102@gslingacademy.com,female,False,2,False,25,Software Engineer,96,80,100,61,81,98,65,581
102,103,James,Yang,james.yang.103@gslingacademy.com,male,False,5,False,29,Writer,76,87,64,74,73,90,99,563
103,104,Stephen,Patton,stephen.patton.104@gslingacademy.com,male,True,6,False,1,Artist,90,80,63,94,64,70,79,540
104,105,Emma,Wright,emma.wright.105@gslingacademy.com,female,False,7,False,2,Business Owner,65,60,100,91,87,78,99,580
105,106,Cynthia,Brown,cynthia.brown.106@gslingacademy.com,female,False,2,False,0,Real Estate Developer,98,97,62,89,62,95,77,580
106,107,Erin,Kelley,erin.kelley.107@gslingacademy.com,female,False,3,False,16,Accountant,91,80,97,89,94,95,84,630
107,108,Benjamin,Morse,benjamin.morse.108@gslingacademy.com,male,False,3,True,31,Scientist,86,81,83,81,81,77,86,575
108,109,Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,female,False,1,False,4,Unknown,91,93,72,61,61,87,95,560
109,110,Phillip,Allen,phillip.allen.110@gslingacademy.com,male,False,5,True,13,Accountant,78,69,82,60,64,77,82,512
110,111,Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,male,False,4,False,24,Stock Investor,76,89,89,83,89,90,64,580
111,112,Erin,Jones,erin.jones.112@gslingacademy.com,female,True,9,False,2,Business Owner,82,54,85,57,50,54,76,458
112,113,Charles,Hayes,charles.hayes.113@gslingacademy.com,male,True,2,True,4,Business Owner,45,85,94,76,57,93,86,536
113,114,Kelsey,Brown,kelsey.brown.114@gslingacademy.com,female,False,1,False,22,Banker,92,75,65,97,61,76,81,547
114,115,Robert,Turner,robert.turner.115@gslingacademy.com,male,False,6,True,0,Business Owner,43,65,91,75,64,94,100,532
115,116,Robert,Hill,robert.hill.116@gslingacademy.com,male,False,2,False,24,Unknown,96,66,69,65,72,84,77,529
116,117,Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,female,False,6,False,1,Business Owner,78,71,50,55,54,97,95,500
117,118,Beth,Bell,beth.bell.118@gslingacademy.com,female,False,1,False,19,Unknown,68,96,64,70,74,63,75,510
118,119,Andrew,Dixon,andrew.dixon.119@gslingacademy.com,male,False,1,True,19,Software Engineer,93,73,94,65,60,63,93,541
119,120,Crystal,Walker,crystal.walker.120@gslingacademy.com,female,False,6,False,5,Business Owner,55,93,67,74,55,60,64,468
120,121,Jordan,Bennett,jordan.bennett.121@gslingacademy.com,female,True,0,False,13,Teacher,66,90,83,80,76,90,91,576
121,122,Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,male,False,4,False,26,Doctor,98,92,91,99,97,88,75,640
122,123,Jacob,Reyes,jacob.reyes.123@gslingacademy.com,male,False,4,False,41,Doctor,94,94,94,89,85,86,85,627
123,124,Wendy,Lewis,wendy.lewis.124@gslingacademy.com,female,False,3,False,47,Doctor,96,100,96,91,91,96,89,659
124,125,Jennifer,Miller,jennifer.miller.125@gslingacademy.com,female,False,2,False,9,Unknown,69,62,82,89,81,72,71,526
125,126,Lisa,Ware,lisa.ware.126@gslingacademy.com,female,False,4,False,7,Unknown,77,95,98,69,60,89,71,559
126,127,Brian,Lee,brian.lee.127@gslingacademy.com,male,False,1,False,3,Game Developer,89,67,86,87,87,68,78,562
127,128,Mario,Taylor,mario.taylor.128@gslingacademy.com,male,False,4,True,14,Accountant,96,67,80,83,86,77,75,564
128,129,Amanda,Williamson,amanda.williamson.129@gslingacademy.com,female,False,4,False,26,Unknown,82,70,80,70,96,69,86,553
129,130,Michael,Miller,michael.miller.130@gslingacademy.com,male,False,6,True,27,Unknown,99,97,64,90,87,68,69,574
130,131,Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,female,True,5,False,25,Stock Investor,96,73,90,85,63,84,87,578
131,132,Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,female,True,4,False,16,Banker,95,82,66,63,67,92,69,534
132,133,Tina,Perkins,tina.perkins.133@gslingacademy.com,female,False,4,False,27,Software Engineer,90,63,69,80,99,69,79,549
133,134,Cory,Perez,cory.perez.134@gslingacademy.com,male,True,6,False,0,Business Owner,88,52,53,56,85,93,78,505
134,135,Christopher,Jenkins,christopher.jenkins.135@gslingacademy.com,male,False,1,False,3,Designer,87,62,87,96,85,90,74,581
135,136,Joanne,Campos,joanne.campos.136@gslingacademy.com,female,False,2,False,6,Designer,62,83,84,75,83,85,86,558
136,137,David,Patel,david.patel.137@gslingacademy.com,male,False,2,False,12,Banker,85,65,60,78,81,96,76,541
137,138,Michelle,Hill,michelle.hill.138@gslingacademy.com,female,False,1,True,11,Banker,79,97,76,67,61,90,95,565
138,139,Jessica,Boyd,jessica.boyd.139@gslingacademy.com,female,False,4,False,23,Software Engineer,90,94,98,96,68,82,81,609
139,140,Lawrence,Russell,lawrence.russell.140@gslingacademy.com,male,False,2,False,23,Doctor,97,71,82,80,97,93,78,598
140,141,James,Singh,james.singh.141@gslingacademy.com,male,False,0,False,16,Software Engineer,88,69,87,81,77,67,93,562
141,142,Marc,Villanueva,marc.villanueva.142@gslingacademy.com,male,True,2,True,3,Artist,71,85,77,89,98,63,100,583
142,143,Cathy,Wilson,cathy.wilson.143@gslingacademy.com,female,False,1,False,29,Lawyer,70,99,79,96,60,97,100,601
143,144,Adam,Mitchell,adam.mitchell.144@gslingacademy.com,male,False,3,True,18,Software Engineer,93,68,76,99,80,80,75,571
144,145,Sherry,Phillips,sherry.phillips.145@gslingacademy.com,female,False,0,False,3,Game Developer,92,79,81,61,86,72,88,559
145,146,Victor,Jones,victor.jones.146@gslingacademy.com,male,False,3,False,6,Real Estate Developer,83,72,68,94,100,98,92,607
146,147,Mark,Young,mark.young.147@gslingacademy.com,male,False,8,False,2,Business Owner,68,97,51,93,68,58,78,513
147,148,Matthew,Jackson,matthew.jackson.148@gslingacademy.com,male,False,0,False,34,Lawyer,92,90,65,79,96,87,74,583
148,149,Tanya,Nichols,tanya.nichols.149@gslingacademy.com,female,False,4,True,22,Unknown,69,91,82,99,94,75,74,584
149,150,Julie,Gray,julie.gray.150@gslingacademy.com,female,True,5,False,4,Business Owner,76,72,72,65,82,71,93,531
150,151,Courtney,Perry,courtney.perry.151@gslingacademy.com,female,False,3,False,3,Unknown,86,92,79,73,73,61,60,524
151,152,Stephen,Rodriguez,stephen.rodriguez.152@gslingacademy.com,male,True,10,False,2,Business Owner,41,57,97,56,50,98,83,482
152,153,Elizabeth,Robinson,elizabeth.robinson.153@gslingacademy.com,female,False,5,False,18,Unknown,91,100,84,72,84,90,82,603
153,154,William,Graves,william.graves.154@gslingacademy.com,male,False,0,False,8,Real Estate Developer,78,67,82,70,65,68,81,511
154,155,Nancy,Moore,nancy.moore.155@gslingacademy.com,female,False,1,False,33,Software Engineer,89,73,85,84,73,81,98,583
155,156,Matthew,Newman,matthew.newman.156@gslingacademy.com,male,False,0,True,13,Unknown,96,71,88,74,80,92,65,566
156,157,Anita,Moore,anita.moore.157@gslingacademy.com,female,False,0,True,17,Unknown,66,99,85,90,76,64,95,575
157,158,Brian,Sanchez,brian.sanchez.158@gslingacademy.com,male,True,8,False,1,Business Owner,97,54,62,66,58,69,96,502
158,159,Dennis,Phillips,dennis.phillips.159@gslingacademy.com,male,True,7,True,3,Business Owner,49,64,97,61,62,72,65,470
159,160,Michael,Rivas,michael.rivas.160@gslingacademy.com,male,True,4,True,33,Unknown,88,66,96,82,65,76,79,552
160,161,Ryan,Smith,ryan.smith.161@gslingacademy.com,male,False,1,False,12,Unknown,92,64,77,61,76,72,87,529
161,162,Anthony,Sullivan,anthony.sullivan.162@gslingacademy.com,male,True,3,False,24,Construction Engineer,96,66,92,88,65,76,72,555
162,163,Troy,Shepherd,troy.shepherd.163@gslingacademy.com,male,False,4,False,33,Construction Engineer,86,88,99,79,93,97,91,633
163,164,Nicholas,Clayton,nicholas.clayton.164@gslingacademy.com,male,False,1,True,44,Doctor,86,100,100,96,95,97,93,667
164,165,Denise,Schneider,denise.schneider.165@gslingacademy.com,female,False,1,False,15,Teacher,88,72,96,60,90,80,88,574
165,166,Lisa,Silva,lisa.silva.166@gslingacademy.com,female,False,2,False,5,Game Developer,92,81,99,98,77,80,73,600
166,167,Laura,Reilly,laura.reilly.167@gslingacademy.com,female,True,7,False,5,Business Owner,87,76,71,65,64,81,61,505
167,168,Amy,Peterson,amy.peterson.168@gslingacademy.com,female,False,5,False,22,Unknown,89,94,67,68,69,92,76,555
168,169,Fernando,Sexton,fernando.sexton.169@gslingacademy.com,male,False,1,False,9,Unknown,97,96,66,96,71,97,66,589
169,170,Evan,Christian,evan.christian.170@gslingacademy.com,male,False,4,True,34,Software Engineer,100,62,67,97,73,84,99,582
170,171,Rebecca,Norris,rebecca.norris.171@gslingacademy.com,female,False,1,False,34,Lawyer,91,98,76,99,65,98,71,598
171,172,Erica,Marks,erica.marks.172@gslingacademy.com,female,False,4,False,25,Stock Investor,81,87,65,85,74,64,81,537
172,173,Rhonda,Webster,rhonda.webster.173@gslingacademy.com,female,False,5,True,31,Accountant,82,66,89,76,68,83,79,543
173,174,John,Bennett,john.bennett.174@gslingacademy.com,male,False,1,False,33,Lawyer,100,96,75,68,77,97,81,594
174,175,Amanda,Murphy,amanda.murphy.175@gslingacademy.com,female,False,10,True,3,Business Owner,65,100,80,83,57,81,81,547
175,176,Jeremy,Barnes,jeremy.barnes.176@gslingacademy.com,male,False,2,False,20,Unknown,68,100,89,75,84,78,90,584
176,177,John,Brown,john.brown.177@gslingacademy.com,male,False,3,False,15,Accountant,97,92,95,75,95,90,83,627
177,178,Traci,Boyd,traci.boyd.178@gslingacademy.com,female,False,3,False,26,Banker,76,94,77,88,85,91,61,572
178,179,Elizabeth,Butler,elizabeth.butler.179@gslingacademy.com,female,False,5,False,35,Software Engineer,91,99,94,94,95,98,89,660
179,180,Alex,Clark,alex.clark.180@gslingacademy.com,male,False,4,False,12,Construction Engineer,85,73,89,73,97,66,79,562
180,181,Christopher,Wolfe,christopher.wolfe.181@gslingacademy.com,male,False,2,True,5,Unknown,68,69,86,87,72,80,93,555
181,182,Jason,Bell,jason.bell.182@gslingacademy.com,male,False,1,False,31,Lawyer,73,99,75,70,100,86,62,565
182,183,Victoria,Donaldson,victoria.donaldson.183@gslingacademy.com,female,False,3,True,28,Unknown,65,90,75,96,91,93,85,595
183,184,Logan,Cox,logan.cox.184@gslingacademy.com,male,False,8,True,5,Business Owner,46,79,75,86,91,88,77,542
184,185,Rachel,Hill,rachel.hill.185@gslingacademy.com,female,False,1,False,33,Software Engineer,92,84,85,77,81,69,95,583
185,186,Jenny,Lloyd,jenny.lloyd.186@gslingacademy.com,female,False,3,False,2,Artist,69,78,69,70,100,88,85,559
186,187,Joan,Cohen,joan.cohen.187@gslingacademy.com,female,False,5,True,9,Real Estate Developer,78,99,64,99,65,84,80,569
187,188,Kimberly,Lopez,kimberly.lopez.188@gslingacademy.com,female,True,2,True,0,Business Owner,92,62,86,97,54,76,76,543
188,189,Steven,Walker,steven.walker.189@gslingacademy.com,male,False,5,False,26,Unknown,70,77,91,96,100,89,67,590
189,190,Sonia,Bowers,sonia.bowers.190@gslingacademy.com,female,False,5,False,30,Scientist,95,79,98,95,89,99,87,642
190,191,Penny,Perez,penny.perez.191@gslingacademy.com,female,False,7,False,1,Game Developer,99,82,93,83,92,90,60,599
191,192,Mike,Harris,mike.harris.192@gslingacademy.com,male,False,1,True,26,Software Engineer,96,66,79,80,88,61,85,555
192,193,Vanessa,Sweeney,vanessa.sweeney.193@gslingacademy.com,female,False,2,False,2,Game Developer,85,90,85,74,96,71,80,581
193,194,Adam,Edwards,adam.edwards.194@gslingacademy.com,male,False,5,False,9,Stock Investor,91,94,82,100,68,66,69,570
194,195,Angelica,Johnson,angelica.johnson.195@gslingacademy.com,female,False,2,False,30,Scientist,85,64,93,80,82,70,94,568
195,196,Tiffany,Hernandez,tiffany.hernandez.196@gslingacademy.com,female,False,3,False,24,Stock Investor,94,73,61,68,65,85,67,513
196,197,Mark,Myers,mark.myers.197@gslingacademy.com,male,False,4,False,21,Software Engineer,95,69,62,87,84,83,64,544
197,198,Erica,Cochran,erica.cochran.198@gslingacademy.com,female,False,2,False,14,Teacher,69,90,83,70,83,91,67,553
198,199,Karen,Watson,karen.watson.199@gslingacademy.com,female,False,1,False,24,Software Engineer,95,72,94,96,91,61,94,603
199,200,Kathryn,Frazier,kathryn.frazier.200@gslingacademy.com,female,False,3,False,34,Lawyer,94,88,65,88,60,81,78,554
200,201,Anthony,Jackson,anthony.jackson.201@gslingacademy.com,male,False,1,True,34,Accountant,82,81,100,81,60,79,96,579
201,202,Jordan,Perez,jordan.perez.202@gslingacademy.com,male,False,6,True,27,Software Engineer,99,73,91,91,93,80,100,627
202,203,Jennifer,Burgess,jennifer.burgess.203@gslingacademy.com,female,False,3,False,16,Accountant,85,62,84,80,37,80,71,499
203,204,Christina,Davis,christina.davis.204@gslingacademy.com,female,False,1,True,21,Accountant,100,87,60,92,46,67,96,548
204,205,April,Ryan,april.ryan.205@gslingacademy.com,female,False,1,False,1,Artist,98,95,90,81,82,86,98,630
205,206,Maxwell,Davis,maxwell.davis.206@gslingacademy.com,male,False,3,False,17,Software Engineer,97,78,81,67,90,95,79,587
206,207,Matthew,Guzman,matthew.guzman.207@gslingacademy.com,male,False,5,False,0,Unknown,99,86,68,94,97,77,92,613
207,208,Robert,Mayer,robert.mayer.208@gslingacademy.com,male,False,3,True,12,Accountant,99,73,77,74,62,68,99,552
208,209,Amanda,Willis,amanda.willis.209@gslingacademy.com,female,False,2,False,22,Banker,75,83,70,71,86,95,76,556
209,210,Michele,Thomas,michele.thomas.210@gslingacademy.com,female,False,1,True,14,Teacher,63,80,99,78,60,84,86,550
210,211,Tim,Turner,tim.turner.211@gslingacademy.com,male,False,0,False,41,Doctor,96,88,90,100,94,87,96,651
211,212,Joe,Strickland,joe.strickland.212@gslingacademy.com,male,False,4,False,32,Construction Engineer,91,73,86,73,84,60,71,538
212,213,Trevor,Cruz,trevor.cruz.213@gslingacademy.com,male,True,1,False,4,Business Owner,52,58,60,97,93,89,68,517
213,214,Melissa,Roberts,melissa.roberts.214@gslingacademy.com,female,False,1,False,22,Doctor,99,71,80,82,95,64,64,555
214,215,Tammy,Miller,tammy.miller.215@gslingacademy.com,female,False,3,False,17,Banker,84,62,92,74,73,98,91,574
215,216,Chad,Morgan,chad.morgan.216@gslingacademy.com,male,False,2,False,2,Artist,100,90,82,79,94,83,78,606
216,217,Samantha,Maldonado,samantha.maldonado.217@gslingacademy.com,female,False,4,False,33,Banker,82,71,93,90,90,76,97,599
